Business id,Stars,Service,Cleanliness,Authenticity,Value for money
0U-1Wkl7y-wv39qM6WKL_w,4,79,90,80,91
RyJIi1IP0UQ5qGbwazgsIA,5,86,93,88,84
-yXkMzPPQ2PvzIC-NrH-Sg,3,35,38,29,47
GIhzzb9tjqLCYdNP_k3-dQ,3,37,46,23,54
vKgsXz3W4BIquVcgJs19sQ,5,77,90,95,88
zJCbSgXWFWwvKiIRFFuiTA,3,22,42,39,90
iikAHVLZrZn7Zy1aEPD25A,3,87,76,29,46
5jxn3_C5rjBow-aiBqcQNg,1,38,49,24,30
QBLl3bVLWZB4-jS-O_MKug,4,77,91,85,95
6a-EXpakLH9tLtv8SDWdWQ,4,84,93,82,92
T1tvWywCdTv8YiK-r_roLw,5,75,90,82,88
NmbBDuALeotUv01k7Qqr7g,3,70,90,53,70
Xwf022IffmZPq6V25iomDg,5,94,95,85,92
Se9dkAqNfBoOoAbKT0LEsg,1,33,20,43,36
P1Ks4okkg58xKTXLjGp4iQ,2,47,68,69,27
9R8Ia-EwSBJR5CUHN1K9yw,4,89,91,81,89
uO81UPtXJK9L0s1rOkwMjQ,2,28,26,27,19
BYQXVyuarIvLi32JzMLSVg,3,87,57,83,52
y45zdBlXT0Mr0gEfYOzXlw,5,75,90,81,79
DPZBuTuL7w5MVxsCEyQudQ,1,16,39,49,18
edVhUxTKz4nn5-qF7Ix_7g,4,82,90,86,86
O6obMXRKCnLMygvm2fSp0w,1,52,53,25,21
tkSk6jdenjbYEcqSchFR7g,3,42,55,45,27
pApEPv1-ApXee4GYYMB5AQ,5,91,91,92,86
SqL19z7A7LB91RkWWwWvnQ,4,85,90,83,85
TohJiJOsB7XwRyenaQel6w,2,72,66,46,49
g5l4vrFN03ob_zDDztDDjA,1,36,30,32,29
u4TVM_6Ya1FBRszxcBROWA,5,88,90,84,84
tWiFat101ID5w_wgAPMXhA,4,81,95,94,86
fZM_o3kKZ9mR-1pvBeow8A,3,81,64,35,39
_nB8HNT2IDRhlAoY9TPYew,4,88,95,82,80
bh0dRmSXjNWZLRys2VmW6A,4,77,90,88,89
dDZqtA1me453GrMtpcpYOQ,5,75,95,89,78
tVVZcFFt3ZlWVE7nptN3EQ,3,92,80,40,38
ofAbFXOMz2-Di7p2oDsfhQ,3,24,85,66,54
hRL_qCrcu9UL773su0QabQ,5,92,91,84,95
_9SDJqTh8z0t3WZmVvbnYA,3,52,38,54,39
HgJGwePlWjhzOEL028pSig,1,22,50,18,26
momjERcb6G6ienrfPuNArw,5,92,94,80,89
PRbIMseOwPCCRv5C4SfTDQ,5,82,85,88,82
D3ehpx1uKG5aLuaJgztYDg,4,78,85,86,78
dSEpkUP_RuR5gG_LhJ_INA,3,38,72,95,68
5FIOXmUE3qMviX9GafGH-Q,3,84,71,94,65
fCaJNz9ff4x0x46fPA8nXg,2,50,67,44,43
jGKcrKCPZ7wtFticJ6KZHg,5,87,88,89,79
V-dxglt0zIcBZzZ-4gfgAw,2,73,58,71,65
AqYLbchnIxVSBdUJuLVdrA,5,94,85,88,83
Jzth-y32SyvOhJNgbIPTqQ,4,92,88,87,92
afrS2T04mfdWHYxuK-2knA,1,40,31,53,33
y78qakVvpdRgIzManeISAw,5,88,94,82,85
mZsvMd5RCat1d3KMSD5tsg,5,94,94,81,81
Q3G58vv1ClvH4re9QBsVgQ,4,95,85,93,86
W2CzAePJakvARgoQuohbOA,2,53,47,70,20
giLPHHPabZycyoNHoP35Sw,5,77,85,87,80
OzkK-4IqoBqqIZIdhVJXQA,5,90,94,84,84
1wiv2BvvauMj8hS16UuEYw,5,94,91,86,79
mKRKhFuJX4nhJykUvZO8hQ,4,92,93,83,89
jlbP9Yd0AQP8OlcsFkZ4hQ,5,77,85,86,93
I9VW1y9hmHKAtaO0edSyzA,4,87,93,85,77
4z2evNWOBm7b4-7Td0392A,4,85,89,92,87
O0VtL9uyf0CY1Yq-kZT8fA,4,90,90,92,91
WCE7YEBV_jOk-KaIEndrGg,4,89,86,93,85
ZhjU0FkCIaG43F83TwSN8w,5,76,86,94,84
Md_TTNUkO7U47b3cass4gw,1,46,21,28,15
mbnU0WTmBcYDvUu0ch6O8A,5,76,90,87,95
oYfzCy8kUkALFa28og_OsQ,3,54,17,17,41
IvbVnHO2Y5w4b61rJ5xHaQ,1,41,32,30,48
kzQ7vylNAQn3w2JGBEluPg,5,82,91,88,84
r0rtl4OsZy-F099jeO_DKA,3,26,62,17,72
iUaxM9t-ZcdTjI2Zx_3vEQ,4,76,93,94,77
jiOREht1_iH8BPDBe9kerw,5,78,94,87,93
BaPKO2rV_uaOtRliKtaFcQ,4,88,95,85,94
oVAySgyWYzzmvJpTJ8PO5Q,5,86,85,87,93
tamr4J75GguGhF1hm1wEaA,4,92,87,82,82
2ZUEOFbbwTjrvkTEVXAdPw,4,95,87,81,90
AfN3Z1U6QPEgAb5F2CQm8w,4,85,90,94,95
9XSF1vFyteVhj9sbD2DEAg,5,89,89,94,79
RzLlGTOFQZyoFgEpk0Ik0Q,4,94,93,89,80
-mklrNaGHec-ZnTAsBtilA,1,20,26,40,33
-jCh1266UulWxTtUpUiDFw,5,79,92,88,95
uIE9H0cz2AvxorEqy5cZ0w,1,28,35,23,24
63dCBZQILHR-QogyKXnvXw,4,94,94,85,93
dEq4Yj50tWOSzxqXloahsw,4,89,94,84,95
Zz7XBdd0Eu9JZgamvIBFzQ,5,80,86,88,85
U6P56MjLrraN0JBNvOjxaA,4,86,90,86,80
MbAsfN3wwV22K7GZsgcBqA,5,81,86,86,78
d3C5QTYpZCdp2pV1Cq5G_g,4,76,91,91,77
vzJ1z1dPKFsM9zoTv6tL3g,1,26,39,34,37
mKf7pIkOYpEhJTqjw4_Fxg,4,75,95,92,93
nhOCUUgFa1izAiWVKAxhCQ,5,76,89,94,81
2UZ4nBPHew9nKWcQyeG0TQ,5,81,91,89,81
TT4XW2WMG0PNyUIFBIINuA,3,33,35,64,16
EVbEdWYLE9GDpVG97MGw-w,3,86,91,67,39
dimv16yFu0JXR1n1SAqedQ,2,45,19,34,46
wl0QZqAzr1DelslQ02JGCQ,3,26,53,27,59
wXsccicHhEvNssIJhdmS2Q,5,81,86,80,88
Oh66jkE6zCIIBDSEBwz0Cw,5,83,95,80,79
L2iT7pipc455Tgpbo35_mw,1,26,39,34,43
WF0bsux--lnBfV95xmGTpw,5,91,90,80,78
6t7mlTVjDA9fhuFAZmVzAQ,5,76,93,89,83
DS0E9qEyVTyV_BGWoPgjGQ,5,78,92,94,95
mtBAaQ2xarcjZtPbLhar4g,5,88,88,94,79
mbV5FSZjiUViAdwcYRY0Rw,4,83,87,82,83
iBihgoxc6Ot7m2D4D3z0QA,4,80,90,88,95
i631pRlq0u29VvaMshW67A,2,27,71,53,18
JhEtJbGjAqKDHCZ11i3qoQ,5,90,92,85,78
gDOuHjntsN37XEjROoQ2Aw,5,77,90,83,77
2q2gGuigGrCFmx3juLAVww,4,75,94,95,80
NUhHkT1wfXsTLxt_tWwVXw,4,89,91,90,84
3JnO3AEqRD8DbXkWP-gTFw,4,93,94,80,85
366FaRQ1MWEHBhaEKTcriQ,5,80,86,81,77
tIauOelAC3BZk_xhMoDBUg,4,91,94,82,93
OMxgLbrSCEU12265nz9JVA,5,76,92,91,81
hIgGkG1JnHX4xmVuOgegDw,4,79,92,88,88
ZvtELJTUOh0yRrPxyyiakQ,5,91,91,81,77
AbnpKkW0mpv34jtRps4C0A,5,85,94,90,85
ZO2-nQjKZBoZUSOzJb4CUQ,5,82,94,83,82
RMtnJYAAiXmUFrMngttEoQ,4,77,87,83,94
5J1SoLkAM2zAOKqrRB7rCQ,5,89,95,92,95
AgE33nKGtNLQkCKQBW44Tw,5,90,93,80,95
CO8MpD1bSkBPArXKBKkIfA,3,84,73,28,75
1zsM7weLS8fNHomDAqCh4Q,4,77,88,91,82
aiX_WP7NKPTdF9CfI-M-wg,4,91,95,91,81
3vta1BSPwdSulcCFMpBjDw,3,15,45,46,31
CMCAZVvZlP0ztWo6fhwnGg,2,68,44,33,68
neO0lOx9YE3r7SvVkmpS8w,4,88,87,84,91
NlxSKTGm2khkYloVMoKlRw,5,82,88,93,84
7_08jLr277WpzXkcERXhjA,3,42,59,20,23
ydt5yifyYhF5s430llv_Hw,2,75,70,47,27
46QWVor8H5eUDNYnx-fMnw,5,95,95,93,85
pD6Eg5iI8zgS1YZZYk0TVA,5,95,87,94,94
gONNfEoNaRLNtgaAcxwsLQ,5,76,93,82,87
fKRKE4XQzOCgddSSQAESTQ,5,90,95,80,81
aVkVDJ01OgvNwhlCUz_bng,2,49,71,66,38
SurnOSM2bVVN4-Js3G23RQ,5,88,94,92,80
gVVmLRUrAf-mqgndol3rUw,5,93,93,85,88
jJDKPJLzkoPeytWIzstJrA,3,47,27,30,87
v9RoRhf64X5E06gdqeudFQ,5,81,87,85,91
_XptUzewghAxa0_4R7br-Q,1,15,27,38,44
BTf8sELl1TjovRc0f-tgJg,3,38,83,42,22
qOd7QUh-sIB7zN7RbP1-qw,5,89,94,83,95
Gw-ozqLSHoP3BQPKaiXJGg,5,81,95,88,85
8RZf-eJI5J05Qu60TD_6fA,5,84,86,80,80
gWqwzJTx8g588U3f7BkZnw,5,79,89,92,80
4c-O3t8I-JxfUGJDUwvj6Q,5,86,92,82,90
UBQRhqRMW4Sk7kSZvZ1iAQ,4,79,93,92,88
HkbNItNrnXlNo59M0YyoMg,4,77,92,92,77
FzwAT5zi8hy5kJ79HaKJPQ,1,26,37,32,55
DVaTciFGcCXLHTufHZM4_A,4,86,89,80,89
7ef7jYhmfbxSI7s57HoJAg,4,79,91,95,93
UhCSu92r2XVPmhQET1c2Bw,5,75,95,87,92
T3y7m50JXsf8HI66L4f72w,4,83,91,87,93
tduDcM1hWHPeyQ9SRPTQmQ,1,31,21,46,33
jN00dj1opLMyFczkCTptqQ,2,49,56,73,67
1uCoWygbmehTJP8Su_3QVA,1,43,26,27,26
rIHt5dCEPotEn-gy6IUT_A,4,78,89,80,77
cbLEGyROMNKbOZpEah3seQ,3,31,17,65,51
XWiL_1CtBWmd1unCiWj_XQ,5,83,90,82,95
E6Cb9EwRyXQrIpJqoT4nSg,3,79,76,57,20
4yIOZXIYJiQlkqW_MUtVgQ,5,94,90,86,77
Z96TEJDXyUhCerS-9QllXw,3,58,44,82,74
AZQKMMvX9m1-uTdLPMzK3g,5,87,93,89,82
fE9SP84G6TZrv36FLbCy7w,3,59,81,40,34
RN0PTeMSF_eaeXN6VV7RwA,1,51,28,30,15
Rj3wnYT1QAxpJlRT5mMc-g,5,85,85,86,93
Dqzkdf0sz8lm9AFjfsDmIw,4,90,85,82,88
uKKNw68mZZaa1jcyszEbyA,2,26,57,50,48
gp9ZESRRNLqWfgJtEzPThA,3,94,82,61,63
futvxFkM42RYxXr8ROogBQ,5,93,86,91,79
OJBn0HFMvVB9TDcr4OLttw,5,81,93,87,89
l8X3I6h4EdDR-Fv_KV8joA,5,82,94,87,77
pHpU8lnnxMuPWRHOysuMIQ,5,91,93,87,89
ZpdSgmF55vELLYl4b26tKw,4,82,92,83,81
3KFWuiz8lla9SospgQn6Yg,3,18,34,33,45
AtSEe-B2mFmLFHBf4PLTrw,3,70,82,77,51
GB6bZTCMmqZncRSxurNblA,4,80,94,92,78
NxjUiGBNgyDErKXnmQ3s3w,4,80,88,84,93
8XFDd4uX-g5B4JJzIahPHg,5,93,95,83,86
Crhm6oKCj7raPlakwltbVQ,4,81,86,89,91
qMJyOW1FdPOf8sli8DIq_A,5,83,86,84,79
lx_HJMFpKEZW-e9_-LyuQg,4,84,87,86,80
4fbH3Yr1D5r5-QD-HReDlg,4,75,93,88,78
bJnikvRTWIoGp23TfQ0BTw,5,90,87,89,91
0x2qB4R790SX3W4W8FQuWA,5,86,91,83,79
ROMFVEFKEYi7qhyITX6jfA,5,92,95,90,85
_uMRu3765QYo0Qg1z1LKqw,5,80,92,88,89
HJLiVxuvtN0n73BASSZKoQ,4,91,91,92,90
rX9k0BJ0OM1zGKXKjfXZQA,4,91,85,92,80
IWOQNyRqWrnqQA5K49eK5g,3,54,66,57,79
Pd9cq5LkReRCNsgyh19wJQ,4,89,88,84,91
QjZNLqhYjGSSH3yyjB8fmA,5,86,88,88,95
8B1TIuaqhaZ7QMEhDUu-Gg,1,24,22,33,42
yvwK4MO2qnSZE5ggYGyk1A,5,93,87,84,91
WjVTG8dxmNpbvfKO0gH14Q,1,32,49,49,30
KXGkJy-s9W1re2sXqSqoiA,2,18,60,69,17
CmgNyXaBPsn6hLLtWPL_qg,2,73,49,68,52
x60RbvQEFlvImnqzuBVk3Q,2,59,44,34,62
NRLsHNbEPpQfaAYS5OLGxg,5,91,92,94,81
izSn0Go-ObiSgc90B6hEfg,2,17,53,32,22
VDMRlQXba3OiCSCpKKTIrg,4,92,89,91,80
wopyolJM2hOAt3dPRmahNA,2,42,33,28,73
kj1p6NwUGROOoqNySf0I1Q,5,76,85,89,93
6i_ai8qjYjhxDV988ZRWFQ,5,84,90,81,79
TjnyNxBUdI68LIXggWOmvw,5,85,93,93,95
zDyv4CoaYvAgQhgr1IK1sg,5,79,94,91,78
SkZ7f-zFsKrthhhppDn6Tg,2,42,56,66,48
R9XSSEzwkmwwwqB76K7s2A,1,31,52,41,52
XZ5eG2IEqu_MuZyTZTcpSg,5,77,85,94,81
L9qDnDHSnINNjePwrJz-uQ,3,68,65,57,59
gMN6VKmu4E1EmlMYzz9A3w,5,86,88,95,81
bKoLvj4R8OUE2tFiqDvv_w,5,79,89,85,93
jcsan4Rl4RARDIuv7tXz5Q,5,78,94,88,87
iPxaFtUXxOlJ-0hMHCM7wg,5,82,93,82,90
oGlIOWdOcAkq4_8IShjQgA,5,87,92,80,93
AOWP-Th_u8C3qLfOlaC0ng,5,90,93,81,79
0HgLKI1T9WT3hJXskDtUrQ,5,81,90,83,83
riM-pBsdqRRVXtAVbLfsxQ,5,80,88,95,92
yet0Pww_ouW49T7V41ecSw,2,60,52,29,30
xAVj_vQj9eTHorWMxY4CPQ,5,84,93,89,79
M8Fp8K23OeMS4dr35vbfjw,5,85,87,92,80
Z890syqhhoShqFnIyIu9EA,4,79,87,94,90
Athxc1MbotCHRpKOPNnBuw,3,50,66,30,17
MEJsTLArqRJgHob7lhgSzw,2,75,73,45,54
vhIJ91MDgUuk4Cr9Kpj1Nw,1,53,24,40,38
1UweGrt6mgiTCfsmLMiUxg,5,87,86,84,91
y4HQ7UaBJaa7LwgDqfFWgA,4,89,93,81,92
hAioxEk3WU-SzlqIM4TI7w,3,55,60,44,15
pdF7iJgA4ViACgA4t1OymQ,1,53,21,33,22
ZUz_qc4z8bTOGUoa644eQQ,3,33,48,16,22
SWhHaWFuijy_KDs0zVCJog,4,76,92,92,95
SOwXfqwUr6NWmbBS0tx_GA,5,82,89,87,88
nR6190BfeXH5qmk3f4jwCA,5,88,95,88,93
5EIJCSrXLHvM2HEoKCejpw,3,57,93,19,42
nBJvxIwO1wU2DVqyQMczng,5,87,94,80,87
fckUjXz1GKpafT4x7-MVJA,1,27,22,53,19
dEV7S-n0HNipS5XUFAaK8w,5,91,94,92,86
MAUTYES01tZGlZzAOCSnng,4,80,90,93,87
DKusRJUxgsye1cdrlGgQOg,5,83,88,82,78
JR2ma-JU1CO_xVD_p5-RPw,3,90,66,75,40
prh-RlduJU3z3ynA5lU3Wg,4,75,92,85,88
VfX7rhtX03yNg56ISz8gVQ,2,62,36,54,41
-KsER702IEQF7QOXANuAIg,5,85,85,86,90
sahppzQJ0HtvMC7L8ILTVg,4,81,85,89,85
Bjn-GQg6hoUOkew7tTPcLA,5,94,90,92,94
u6_qfV--qVopLy3jhbirjg,5,88,88,82,79
BTENr68s2xysZtOAcf6qTg,5,92,87,88,80
VJz2DcvX47i-wqlQ0mQEzQ,3,34,44,72,26
X1twjafYxMCpKt2MqvY5Tw,1,38,40,24,24
b1s8c1CTlHmLIlNGI9q-mQ,5,82,88,90,93
p4KtWurOF5MgWipav08Jpg,5,75,95,81,86
SzHP4_x-ECuBDVK6npb-Ow,3,61,37,16,72
vuHzLZ7nAeT-EiecOkS5Og,1,40,20,21,31
_DMrezN4Aq4T_7VmUjdnpg,5,95,85,91,94
FtLibezRe7HsT13BLpR-Dg,4,87,86,88,81
aqMfCbFNeWn1a4Evds83fg,5,75,89,90,94
rbreGWFCGNnBCEakGY4F0Q,3,53,20,33,52
fC6Zkye_Yd_rf7CJZ1C2VQ,5,95,85,92,91
ZsThT0P2-_qYemYwPJ6qbA,5,78,93,87,93
ti7UmThnMV34Juvib64FhA,5,95,86,80,88
zB4TOI3Ci9BOidw55TREbA,4,76,93,86,95
n43SvzsYHO_4UTC_QwrZKA,4,92,86,93,90
zI4zrcOIePiEAQTBB2dCHA,5,78,94,87,79
p-9tfaYQrfz0FlvsOVDVUA,4,83,94,93,88
ormVt7XAMLy3DP1tGcxUEQ,1,55,24,48,44
WfXBS8eJP4GGXVTCIIbnkQ,1,30,22,16,21
gr-10WzRS0GsZ36N9_PTPA,1,24,36,37,50
u2Z7wvTpZJzQEhfFBS-06g,1,44,27,35,20
RetPg5rBPO6YoyaCdI51Hg,5,93,91,93,91
lpD3xIYuVaQA8xRSlKwn-Q,3,63,71,31,27
MRKRcM5ogwRuFguPPKOKfQ,5,91,86,81,95
LsmAjC6kThIx_GZtID_FRQ,5,92,93,93,92
0pMsVlUu_MbFqmvbA8F79Q,3,77,57,66,79
ByZcAtm7-QuSCplgXK9PtQ,2,70,45,73,34
7dtcBJH9qxtxx1PWnzT10A,5,92,90,81,77
wa8QgXQu1ZxwPgdRl9lYlg,5,79,87,89,79
IrXlXhmSHlIllxZSAARjLA,2,70,31,71,44
3IVCHZaMILY5LZMi-tpCJw,5,95,94,91,83
HjXI6lKGPVNQ8dYJPtaOCg,2,43,54,36,67
j-SSlq3__BQr3H7lAyVvkw,5,92,87,89,86
gtAMKvGxEbdFgp0ZNBlDbQ,5,76,94,86,79
u57NiwOgUMb6CFg-meca-w,1,17,43,22,53
eKcdE5WHnXBd6Rws-vicZQ,3,76,42,52,48
lI06p86a8stKoXSUPfjtsA,5,92,86,83,88
Cl5PHhHfOzimUTCWjC5yNA,1,50,49,49,48
QuybD_bJcAB2CHcpTfREYg,5,77,94,83,94
HwjhWHbNp56t-dRiv3-wPA,5,77,88,95,78
LBAkHJJfCoDj9aa5sc0Mxw,4,75,94,90,78
WN5ON423ZCOy3_4F6XYikA,4,85,94,86,89
DVhSFWIJKk4Vo8fjy_JfcQ,5,79,86,91,78
7QSFLU0AGAUqwnQWg3qHqQ,5,95,91,93,86
lamNK6ivdxNxlCnLu_uqBw,5,75,85,90,95
IDXSRYKyfVGNGzmlFwLNEQ,5,76,93,89,91
8PBq-MHyLDrhkaTf72Foww,4,85,92,84,80
HeoiKMh2aPzWRq5ZQtSb3g,3,20,84,93,54
-tcJmqzfaeEnpFMAelB7bA,4,91,93,88,90
BbGs3XK0x9NEImer3LQD3w,5,76,93,89,91
JwWeolTHTWRDdbT0Zb6WLw,5,78,89,89,95
CaF9FC8GEBfDDbptPgkgBw,1,21,15,25,48
P69sEJwyoUqjBXiqjkKwDA,5,76,91,93,81
dnB7SD38_lwiC9E-BJxq-Q,5,92,85,83,82
9D7h2xfVJrGkkwXDsnfV_Q,1,44,40,50,43
eHvgW9qj-CsPjWmpckJeiw,5,90,89,80,87
-s_U95xEEmJu5GK-srqpUA,1,41,46,37,33
9tayZB1GjSTttFNKo_PMjQ,1,28,27,17,51
2GmGT-7QjowR1ihup3FbVA,4,89,89,92,80
ypJMOo1eNGreGMfP6FUcFA,5,76,86,95,80
qX116WMOppAblGKxoQwlYA,4,84,95,80,79
v8QuF4YX9Bb-qEtKLVPrmA,4,91,94,89,93
QbtJvTQfTFbPqBhjkI59BA,5,86,90,82,88
U8rHQ_Sg8A2m291Y7WEfIg,1,55,49,35,49
9mIm1ef-NVDQHFE39Faxxg,3,48,18,26,37
CX9f_vR0DFEGOpEwFt-jKw,2,69,30,18,21
HOmUXgWOl37CaLqmrsPwuw,3,58,35,45,93
QMaaLfedGzNhHz6PZKAUkw,3,66,76,49,60
-4g68Hwm892_KPUuW5g1_Q,5,78,92,84,79
q6igRYs2UTO-4nTwlttrAQ,5,82,93,82,89
_KjKBz_ouqfheB1Buw7yYg,5,85,93,87,78
SYKIUCvN9JdSkVampgccfA,4,92,92,92,83
Cwv0Mv70w8fNMd-ApwSnUQ,1,38,46,30,41
_cA8tCqZgTDQe9EPNmzp4w,5,79,91,80,95
3jllr8N45pz05Ygaw5ojrg,4,76,94,94,84
g9oCVqOhR4vg7yvtDaEIkA,3,72,66,81,17
utoTa3Ngv_oSfB5TIMgN_Q,3,37,64,86,60
GdPWJo3z4ySEXpF7Wkn3FA,2,47,64,28,51
Zt4ljpwfmBufatNM1zPNcQ,5,89,95,89,94
Sg9R6OwNBq5Zf-kjiVBxuw,1,39,34,44,48
ZdGWAv90dY81kpKzMLMvvA,4,91,87,91,88
DEBqmgxv2yhJ93LqGpKltg,4,78,86,85,87
WN3Y6tP5MT1ugE0dzCHQ8g,2,25,59,43,43
WfKMxqFMDmCj1fhtxDd7rA,5,83,95,86,92
ZrFqa9sUaF_X8wbNz29Qbw,4,92,93,91,83
36cByhAPNsbUIuJ59oUVGA,5,93,95,83,78
J2WGpC43MJDKxPRAcWx-tA,1,36,34,48,29
9kjk05G50XWnmJQBz_wcnw,3,16,60,93,28
Mul_BVwcnhqmp2h_7QFepQ,4,94,92,88,81
NdRJzLnVLV4ia09F2rWK4A,5,75,86,88,82
tgub8uhOq8qjVrkI5IabkQ,1,46,43,51,31
rBTlmcEEQka-7cdU6ByrYg,1,40,21,46,21
DFy8RPRTheb01pQYfeQ1NA,4,87,91,86,89
ad0LjmuXhUGBxTSkve5LZA,5,93,87,91,78
V1hH7vAq5wNDo2P3z8zJLg,5,89,87,80,86
h301hAHfIGqVYIlBzs5EgA,3,22,35,41,39
Ln_wIiEtyFCXogad7VTLfw,4,85,91,85,90
zS3-CKZVVvUYvasJnAg-aA,3,77,69,28,27
iPyhXWQ2LVSgBlQA4vqKJw,2,44,36,48,42
h-Oq86DZfZad9kKXe8m7Lg,5,84,95,87,92
SIVi2UQp1UT0lMIoqHP0QA,1,54,15,16,19
1_v_fooGLY3FQkO5tH3m-A,3,31,93,40,88
5euk5_UKqnAWcrbOPNYt0g,5,94,88,89,95
fTQra2F9uRDzgDWTaVe1yg,4,75,85,87,92
ILZfAtetYvpp0r0Xs8SoHQ,1,49,21,16,39
JC6zXzCqnF2s42-Hiq0TRA,5,77,86,94,83
stPpU3S-OCLZOoxOwgJb4A,3,35,17,65,70
Hcyj_YtGz1zaxzQbBuu6mA,4,83,92,88,89
py474pAs_QPjv2766jLBLw,4,87,91,92,84
R1JAHtDMfprLAySXIIAURA,4,95,95,92,89
PhMfnMldVKXo7HqHw6DSrg,5,94,93,84,81
-8QlV3b_9H4BAh6LgMIr1g,5,79,91,87,94
LRnzpnNQWwpN3Bu24W53CA,5,87,90,86,88
QZJpXx1TbOXqzLx6u6xmaQ,2,25,24,64,34
Pj9DDbTmjBEKXezLb0qmTw,4,85,94,91,92
nChi_8Gygb6NUMa_kg_tlQ,5,83,95,82,85
EveFgxNoHkrs8ncSjkoINA,5,90,86,82,94
EuPaczO6rMpDMrn-GtE_eA,5,93,95,80,79
FwZi-ipVOLgq9tJkb3W5Yw,5,94,88,90,95
wiqTY54WlQVn6LqZASrUUw,1,20,19,48,55
UZ34XAw1GJ3chCOuKL69Mg,5,77,86,81,81
jBibtpiC9BlXulZdGevK_g,5,77,92,91,77
Xv3d5FLutLgrlNfcQ7gR-A,5,83,94,84,81
IodEvSRPqtsrGcDIcCADAw,1,36,37,26,33
hdgYnadxg0GANhWOJabr2g,1,55,42,17,24
c58gaNROUk3ltUQrpl6OJw,5,84,91,86,88
EUg6vHQRLHRw39bmompHcw,4,92,90,93,82
GBuB1uV9NRrtaLxZoVhi7w,5,91,95,80,83
aghhw3q1j3XI7QB892NqbA,5,91,93,83,79
3a9k2JOlNyOE3GKwwZwfng,5,78,92,94,91
OicSihRji2HmUlv7_4YEBg,5,92,87,91,88
POO5_d0RwzjJVhIpN-oulg,5,89,85,80,85
Yz7rfHjytl6Yn4_PiK2HsQ,5,86,89,83,80
x2NuIlQgvvl3Wtq8ipZC6Q,5,75,88,86,78
LJZrIlsx3DTP_y5vp0tKVg,5,91,92,93,90
mRbwm1Hkg6LjkcX_P3WWZA,5,79,94,95,91
xn01T3wnHhpy7MF1kEFA6w,5,79,94,91,85
EfymQLarLpPhm2WX7uoVPg,5,91,93,82,80
jArpBM9wonbYrpiQ4Eac1g,1,47,15,54,21
h1MxTLZ1b2FkU6ituL1yHA,4,89,91,84,85
SvNzj0dE6UMFfp55bIze_A,4,93,93,91,90
JRZS6COIpVkuXLf0VayFWA,5,91,94,94,94
ZtxMIWkILccFuGfx28Hx3w,5,81,85,81,85
VTLKqzjBLf9l7nGJJ0xewg,1,29,51,33,35
xpd4W43hUtoBYc6dzo-xBQ,5,81,91,81,92
sNBaDJM4Khm1BbrBRyrMVQ,5,85,85,83,84
6C_8Mh4lmLc_QEs3hHleBg,5,87,91,81,89
_YfwjvhsqDPLow4775ZFEg,2,57,30,54,18
CXZTRts90FaJX3D81DQrzA,4,89,92,92,94
oLod-GlOLEH4KAvyddKuQQ,3,23,70,66,42
